id;seo_title;seo_description;keywords;title;slug;price;price_title;image_path;image_alt;image_title;category_id;Марка;Тип;НТД;Материал;"описание ";Размер;"Способ производства";description;ОКПД;Артикул;"Тип поверхности";"Способ применения"
4007,"Купить Лента нержавеющая 14Х17Н2 0,25 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая 14Х17Н2 0,25 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая 14х17н2 0,25 мм в [[!+cf.name_rp]], лента нержавеющая 14х17н2 0,25 мм купить, лента нержавеющая 14х17н2 0,25 мм цена, лента нержавеющая 14х17н2 0,25 мм со склада, лента нержавеющая 14х17н2 0,25 мм от производителя, лента нержавеющая 14х17н2 0,25 мм","Лента нержавеющая 14Х17Н2 0,25 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-14x17n2-025-mm,2500,"От 2500 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая 14Х17Н2 0,25 мм","Лента нержавеющая 14Х17Н2 0,25 мм","Лента нержавеющая",14Х17Н2,Пружинная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая 14Х17Н2 0,25 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",0.25,Холоднокатаная,,,,,
4008,"Купить Лента нержавеющая 30Х10Г10 1,5 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая 30Х10Г10 1,5 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая 30х10г10 1,5 мм в [[!+cf.name_rp]], лента нержавеющая 30х10г10 1,5 мм купить, лента нержавеющая 30х10г10 1,5 мм цена, лента нержавеющая 30х10г10 1,5 мм со склада, лента нержавеющая 30х10г10 1,5 мм от производителя, лента нержавеющая 30х10г10 1,5 мм","Лента нержавеющая 30Х10Г10 1,5 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-30x10g10-15-mm,2500,"От 2500 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая 30Х10Г10 1,5 мм","Лента нержавеющая 30Х10Г10 1,5 мм","Лента нержавеющая",30Х10Г10,Крепежная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая 30Х10Г10 1,5 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",1.5,Холоднокатаная,,,,,
4009,"Купить Лента нержавеющая 08Х22Н6Т 0,5 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая 08Х22Н6Т 0,5 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая 08х22н6т 0,5 мм в [[!+cf.name_rp]], лента нержавеющая 08х22н6т 0,5 мм купить, лента нержавеющая 08х22н6т 0,5 мм цена, лента нержавеющая 08х22н6т 0,5 мм со склада, лента нержавеющая 08х22н6т 0,5 мм от производителя, лента нержавеющая 08х22н6т 0,5 мм","Лента нержавеющая 08Х22Н6Т 0,5 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-08x22n6t-05-mm,2650,"От 2650 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая 08Х22Н6Т 0,5 мм","Лента нержавеющая 08Х22Н6Т 0,5 мм","Лента нержавеющая",08Х22Н6Т,Конвейерная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая 08Х22Н6Т 0,5 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",0.5,Холоднокатаная,,,,,
4010,"Купить Лента нержавеющая AISI 202 19 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая AISI 202 19 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая aisi 202 19 мм в [[!+cf.name_rp]], лента нержавеющая aisi 202 19 мм купить, лента нержавеющая aisi 202 19 мм цена, лента нержавеющая aisi 202 19 мм со склада, лента нержавеющая aisi 202 19 мм от производителя, лента нержавеющая aisi 202 19 мм","Лента нержавеющая AISI 202 19 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-aisi-202-19-mm,3870,"От 3870 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая AISI 202 19 мм","Лента нержавеющая AISI 202 19 мм","Лента нержавеющая","AISI 202",Пружинная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая AISI 202 19 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",19,Холоднокатаная,,,,,
4011,"Купить Лента нержавеющая AISI 304 0,03 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая AISI 304 0,03 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая aisi 304 0,03 мм в [[!+cf.name_rp]], лента нержавеющая aisi 304 0,03 мм купить, лента нержавеющая aisi 304 0,03 мм цена, лента нержавеющая aisi 304 0,03 мм со склада, лента нержавеющая aisi 304 0,03 мм от производителя, лента нержавеющая aisi 304 0,03 мм","Лента нержавеющая AISI 304 0,03 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-aisi-304-003-mm,4290,"От 4290 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая AISI 304 0,03 мм","Лента нержавеющая AISI 304 0,03 мм","Лента нержавеющая","AISI 304",Крепежная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая AISI 304 0,03 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",0.03,Холоднокатаная,,,,,
4012,"Купить Лента нержавеющая ЭИ878 0,15 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая ЭИ878 0,15 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая эи878 0,15 мм в [[!+cf.name_rp]], лента нержавеющая эи878 0,15 мм купить, лента нержавеющая эи878 0,15 мм цена, лента нержавеющая эи878 0,15 мм со склада, лента нержавеющая эи878 0,15 мм от производителя, лента нержавеющая эи878 0,15 мм","Лента нержавеющая ЭИ878 0,15 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-ei878-015-mm,1010,"От 1010 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая ЭИ878 0,15 мм","Лента нержавеющая ЭИ878 0,15 мм","Лента нержавеющая",ЭИ878,Пружинная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая ЭИ878 0,15 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",0.15,Холоднокатаная,,,,,
4013,"Купить Лента нержавеющая AISI 430 50 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая AISI 430 50 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая aisi 430 50 мм в [[!+cf.name_rp]], лента нержавеющая aisi 430 50 мм купить, лента нержавеющая aisi 430 50 мм цена, лента нержавеющая aisi 430 50 мм со склада, лента нержавеющая aisi 430 50 мм от производителя, лента нержавеющая aisi 430 50 мм","Лента нержавеющая AISI 430 50 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-aisi-430-50-mm,4980,"От 4980 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая AISI 430 50 мм","Лента нержавеющая AISI 430 50 мм","Лента нержавеющая","AISI 430",Упаковочная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая AISI 430 50 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",50,Холоднокатаная,,,,,
4014,"Купить Лента нержавеющая 40Х13 1,4 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая 40Х13 1,4 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая 40х13 1,4 мм в [[!+cf.name_rp]], лента нержавеющая 40х13 1,4 мм купить, лента нержавеющая 40х13 1,4 мм цена, лента нержавеющая 40х13 1,4 мм со склада, лента нержавеющая 40х13 1,4 мм от производителя, лента нержавеющая 40х13 1,4 мм","Лента нержавеющая 40Х13 1,4 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-40x13-14-mm,1010,"От 1010 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая 40Х13 1,4 мм","Лента нержавеющая 40Х13 1,4 мм","Лента нержавеющая",40Х13,Конвейерная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая 40Х13 1,4 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",1.4,Холоднокатаная,,,,,
4015,"Купить Лента нержавеющая 03Х18Н12 19 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая 03Х18Н12 19 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая 03х18н12 19 мм в [[!+cf.name_rp]], лента нержавеющая 03х18н12 19 мм купить, лента нержавеющая 03х18н12 19 мм цена, лента нержавеющая 03х18н12 19 мм со склада, лента нержавеющая 03х18н12 19 мм от производителя, лента нержавеющая 03х18н12 19 мм","Лента нержавеющая 03Х18Н12 19 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-03x18n12-19-mm,7955,"От 7955 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая 03Х18Н12 19 мм","Лента нержавеющая 03Х18Н12 19 мм","Лента нержавеющая",03Х18Н12,Крепежная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая 03Х18Н12 19 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",19,Холоднокатаная,,,,,
4016,"Купить Лента нержавеющая 12Х17Г9АН4 20 мм в [[!+cf.name_rp]] ⭐ — ООО ФАТОМ","Купить Лента нержавеющая 12Х17Г9АН4 20 мм в [[!+cf.name_rp]] по выгодной цене. ООО ФАТОМ - широкий сортамент металлопродукции поставщика.  Доставка, самовывоз с металлобазы. Склад в городе [[!+cf.name_ip]], скидка на доставку 15%. ☎ Звоните: 8 (861) 206-29-91 !",", лента нержавеющая 12х17г9ан4 20 мм в [[!+cf.name_rp]], лента нержавеющая 12х17г9ан4 20 мм купить, лента нержавеющая 12х17г9ан4 20 мм цена, лента нержавеющая 12х17г9ан4 20 мм со склада, лента нержавеющая 12х17г9ан4 20 мм от производителя, лента нержавеющая 12х17г9ан4 20 мм","Лента нержавеющая 12Х17Г9АН4 20 мм в [[!+cf.name_rp]]",lenta-nerzaveiushhaia-12x17g9an4-20-mm,1010,"От 1010 руб.",https://krasnodar.snabtechmet.ru/media/uploads/images/load/Lenta-nerzhaveyushchaya.png,"Лента нержавеющая 12Х17Г9АН4 20 мм","Лента нержавеющая 12Х17Г9АН4 20 мм","Лента нержавеющая",12Х17Г9АН4,Пружинная,"ГОСТ 4986-79",Стальная,"Лента нержавеющая 12Х17Г9АН4 20 мм – это металилческий объект, имеющий прямоугольную или квадратную форму сечения. Имеет высокую пластичность и гибкость, наряду с высокой прочностью и износоустойчиовстью.",20,Холоднокатаная,,,,,
